"Dispatch_id","Ticket_type","Order_type","Priority","Required_skill","Status","Street","City","County","State","Postal_code","Customer_latitude","Customer_longitude","Appointment_start_datetime","Appointment_end_datetime","Duration_min","Assigned_technician_id","Optimized_technician_id","Resolution_type","Optimization_status","Optimization_timestamp","Optimization_confidence","Completion_notes","Skill_category"
200000394,Order,install,Normal,Copper ONT installation,Pending,"5129 Elm St",San Antonio,SAN ANTONIO,TX,71115,29.243391,-98.46149,"2025-11-20 10:00:00","2025-11-20 12:00:00",120,,,"",pending,"","",,Installation Services
200000062,Trouble,"",Critical,Network troubleshooting,Pending,"2327 Elm St",Los Angeles,LOS ANGELES,CA,89416,34.232513,-118.44834,"2025-11-21 16:45:00","2025-11-21 18:15:00",90,,,"",pending,"","",service restored,Critical Trouble Resolution
200000056,Order,upgrade,Normal,Equipment upgrade,Pending,"5545 Main St",New York,NEW YORK,NY,58419,41.028244,-73.82262,"2026-01-12 12:00:00","2026-01-12 12:30:00",30,,,"",pending,"","",,Upgrade Services
200000057,Order,upgrade,Normal,Equipment upgrade,Pending,"7137 Elm St",New York,NEW YORK,NY,78095,41.053715,-74.017265,"2025-12-06 15:45:00","2025-12-06 17:45:00",120,,,"",pending,"","",,Upgrade Services
200000058,Order,upgrade,Normal,Equipment upgrade,Pending,"8758 Washington St",New York,NEW YORK,NY,94029,40.67872,-73.66017,"2025-11-18 10:00:00","2025-11-18 11:00:00",60,,,"",pending,"","",,Upgrade Services
200000059,Order,upgrade,Normal,Equipment upgrade,Pending,"843 Elm St",New York,NEW YORK,NY,67952,40.439384,-74.092865,"2025-12-01 16:30:00","2025-12-01 18:30:00",120,,,"",pending,"","",,Upgrade Services
200000110,Order,upgrade,Normal,Equipment upgrade,Pending,"8092 Washington St",Los Angeles,LOS ANGELES,CA,81570,34.39163,-118.46268,"2025-12-04 14:00:00","2025-12-04 14:30:00",30,,,"",pending,"","",,Upgrade Services
200000111,Order,upgrade,Normal,Equipment upgrade,Pending,"8939 Washington St",Los Angeles,LOS ANGELES,CA,10472,33.863377,-118.484436,"2025-12-27 11:45:00","2025-12-27 13:45:00",120,,,"",pending,"","",,Upgrade Services
200000112,Order,upgrade,Normal,Equipment upgrade,Pending,"5360 Washington St",Los Angeles,LOS ANGELES,CA,27446,34.048153,-118.4388,"2025-12-30 16:30:00","2025-12-30 17:00:00",30,,,"",pending,"","",,Upgrade Services
200000113,Order,upgrade,Normal,Equipment upgrade,Pending,"8429 Main St",Los Angeles,LOS ANGELES,CA,20274,34.281857,-117.91301,"2025-11-09 11:45:00","2025-11-09 12:15:00",30,,,"",pending,"","",,Upgrade Services
200000114,Order,upgrade,Normal,Equipment upgrade,Pending,"4169 Elm St",Los Angeles,LOS ANGELES,CA,51947,33.791737,-118.017235,"2026-01-21 13:45:00","2026-01-21 14:15:00",30,,,"",pending,"","",,Upgrade Services
