Dispatch_id,Ticket_type,Order_type,Priority,Required_skill,Status,Street,City,County,State,Postal_code,Customer_latitude,Customer_longitude,Appointment_start_datetime,Appointment_end_datetime,Duration_min,Assigned_technician_id,Optimized_technician_id,Resolution_type,Optimization_status,Optimization_timestamp,Optimization_confidence
200000000,Trouble,,Critical,Network troubleshooting,Pending,7077 Elm St,Philadelphia,PHILADELPHIA,PA,73372,39.87605,-75.002294,2025-11-25 12:30:00,2025-11-25 13:00:00,30,T900076,,,pending,,
200000001,Trouble,,Low,Network support,Pending,5424 Oak St,Los Angeles,LOS ANGELES,CA,74423,33.799244,-118.494055,2026-01-31 10:45:00,2026-01-31 11:15:00,30,T900028,,,pending,,
200000002,Order,install,Normal,Fiber ONT installation,In Progress,984 Washington St,Houston,HOUSTON,TX,67241,29.808172,-95.499637,2025-12-18 08:30:00,2025-12-18 09:30:00,60,T900051,,,pending,,
200000003,Trouble,,Critical,Line repair,In Progress,5203 Oak St,Austin,AUSTIN,TX,23397,30.200397,-97.941616,2026-01-07 13:15:00,2026-01-07 14:45:00,90,T900145,,,pending,,
200000004,Order,install,Normal,Fiber ONT installation,In Progress,9607 Washington St,Austin,AUSTIN,TX,67928,30.25404,-97.638142,2025-12-31 12:45:00,2025-12-31 13:45:00,60,T900143,,,pending,,
200000005,Order,upgrade,Normal,Equipment upgrade,In Progress,590 Washington St,Austin,AUSTIN,TX,81961,30.519546,-97.620577,2026-01-09 09:00:00,2026-01-09 10:30:00,90,T900149,,,pending,,
200000006,Trouble,,Critical,Network troubleshooting,Pending,2380 Oak St,San Antonio,SAN ANTONIO,TX,61238,29.201887,-98.533086,2025-12-07 09:30:00,2025-12-07 10:30:00,60,T900093,,,pending,,
200000007,Order,upgrade,Normal,Equipment upgrade,Pending,420 Oak St,Dallas,DALLAS,TX,95528,32.884404,-96.52116,2026-01-02 12:15:00,2026-01-02 12:45:00,30,T900129,,,pending,,
200000008,Order,upgrade,Normal,Equipment upgrade,Pending,5933 Main St,Houston,HOUSTON,TX,46023,29.687492,-95.561388,2026-01-14 10:15:00,2026-01-14 11:15:00,60,T900050,,,pending,,
200000009,Trouble,,Critical,Line repair,In Progress,6202 Elm St,New York,NEW YORK,NY,62864,40.613279,-73.690321,2025-11-15 08:30:00,2025-11-15 10:30:00,120,T900001,,,pending,,
200000010,Order,install,Normal,Fiber ONT installation,Pending,7225 Elm St,Houston,HOUSTON,TX,39736,29.932831,-95.692779,2026-01-18 10:00:00,2026-01-18 11:30:00,90,T900055,,,pending,,
200000011,Trouble,,Low,Network support,In Progress,4898 Washington St,San Diego,SAN DIEGO,CA,95029,32.873659,-117.505709,2025-12-15 14:45:00,2025-12-15 15:45:00,60,T900109,,,pending,,
200000012,Order,upgrade,Normal,Equipment upgrade,Pending,8486 Elm St,San Diego,SAN DIEGO,CA,55818,32.867796,-117.508639,2026-01-29 13:45:00,2026-01-29 15:15:00,90,T900112,,,pending,,
200000013,Order,install,Normal,Copper ONT installation,In Progress,8113 Elm St,Dallas,DALLAS,TX,63832,32.739911,-97.048346,2025-12-09 10:30:00,2025-12-09 12:30:00,120,T900128,,,pending,,
200000014,Trouble,,Critical,Network troubleshooting,In Progress,3328 Elm St,Austin,AUSTIN,TX,60781,30.429743,-97.396346,2026-01-08 11:00:00,2026-01-08 13:00:00,120,T900148,,,pending,,
200000015,Order,install,Normal,Fiber ONT installation,Pending,930 Washington St,San Diego,SAN DIEGO,CA,72785,32.603331,-117.402225,2025-12-15 15:15:00,2025-12-15 16:15:00,60,T900108,,,pending,,
200000016,Trouble,,Critical,Network troubleshooting,In Progress,5548 Main St,Chicago,CHICAGO,IL,12478,41.728968,-87.559318,2025-11-21 14:00:00,2025-11-21 15:00:00,60,T900033,,,pending,,
200000017,Trouble,,Critical,Network troubleshooting,Pending,2791 Washington St,San Diego,SAN DIEGO,CA,47608,32.372478,-117.508133,2025-11-29 10:00:00,2025-11-29 10:30:00,30,T900114,,,pending,,
200000018,Trouble,,Critical,Line repair,In Progress,5861 Oak St,Chicago,CHICAGO,IL,70216,41.684302,-87.32656,2025-12-31 13:00:00,2025-12-31 14:00:00,60,T900044,,,pending,,
200000019,Trouble,,Critical,Network troubleshooting,Pending,410 Oak St,New York,NEW YORK,NY,75976,40.44222,-74.290086,2026-01-10 13:15:00,2026-01-10 15:15:00,120,T900010,,,pending,,
200000020,Order,install,Normal,Fiber ONT installation,Pending,6151 Oak St,Los Angeles,LOS ANGELES,CA,80576,34.121775,-117.950885,2026-01-03 13:45:00,2026-01-03 15:15:00,90,T900023,,,pending,,
200000021,Trouble,,Critical,Line repair,In Progress,4570 Main St,Phoenix,PHOENIX,AZ,92607,33.22578,-112.140181,2025-11-18 15:00:00,2025-11-18 16:30:00,90,T900065,,,pending,,
200000022,Order,upgrade,Normal,Equipment upgrade,In Progress,6639 Oak St,San Antonio,SAN ANTONIO,TX,86402,29.531836,-98.527799,2025-11-22 10:00:00,2025-11-22 12:00:00,120,T900090,,,pending,,
