Dispatch_id,Ticket_type,Order_type,Priority,Required_skill,Status,Street,City,County,State,Postal_code,Customer_latitude,Customer_longitude,Appointment_start_datetime,Appointment_end_datetime,Duration_min,Assigned_technician_id,Optimized_technician_id,Resolution_type,Optimization_status,Optimization_timestamp,Optimization_confidence,Appointment_start_time,Appointment_date,Initial_confidence,Initial_success_prob,Initial_predicted_duration_min,Initial_workload_ratio,Initial_distance_km,Predicted_success_prob,Optimized_predicted_duration_min,Fallback_level,Optimized_workload_ratio,Optimized_distance_km,Confidence_improvement,Success_prob_improvement,Duration_change,Workload_ratio_change,Distance_change_km
200000000,Trouble,,Critical,Network troubleshooting,Pending,7077 Elm St,Philadelphia,PHILADELPHIA,PA,73372,39.87605,-75.0023,2025-11-25 12:30:00,2025-11-25 13:00:00,30,T900076,T900082,,completed,2025-11-19 10:41:53,0.418,2025-11-25 12:30:00,2025-11-25,0.356,0.567,68.6,0.6,33.64,0.786,43.3,ml_based,0.125,42.49,0.062,0.21900000000000008,-25.299999999999997,-0.475,8.850000000000001
200000001,Trouble,,Low,Network support,Pending,5424 Oak St,Los Angeles,LOS ANGELES,CA,74423,33.799244,-118.49406,2026-01-31 10:45:00,2026-01-31 11:15:00,30,T900028,T900017,,completed,2025-11-19 10:41:53,0.503,2026-01-31 10:45:00,2026-01-31,0.496,0.459,35.9,1.0,8.68,0.691,51.6,ml_based,0.125,49.03,0.007000000000000006,0.23199999999999993,15.700000000000003,-0.875,40.35
200000002,Order,install,Normal,Fiber ONT installation,In Progress,984 Washington St,Houston,HOUSTON,TX,67241,29.808172,-95.49963,2025-12-18 08:30:00,2025-12-18 09:30:00,60,T900051,T900054,,completed,2025-11-19 10:41:53,0.599,2025-12-18 08:30:00,2025-12-18,0.283,0.504,68.7,0.8,33.08,0.766,65.4,ml_based,0.0,25.22,0.316,0.262,-3.299999999999997,-0.8,-7.859999999999999
200000003,Trouble,,Critical,Line repair,In Progress,5203 Oak St,Austin,AUSTIN,TX,23397,30.200397,-97.94161,2026-01-07 13:15:00,2026-01-07 14:45:00,90,T900145,T900138,,completed,2025-11-19 10:41:53,0.636,2026-01-07 13:15:00,2026-01-07,0.298,0.583,67.9,0.75,33.5,0.75,68.6,ml_based,0.0,31.24,0.338,0.16700000000000004,0.6999999999999886,-0.75,-2.2600000000000016
200000004,Order,install,Normal,Fiber ONT installation,In Progress,9607 Washington St,Austin,AUSTIN,TX,67928,30.25404,-97.638145,2025-12-31 12:45:00,2025-12-31 13:45:00,60,T900143,T900138,,completed,2025-11-19 10:41:53,0.414,2025-12-31 12:45:00,2025-12-31,0.769,0.632,51.0,0.0,19.22,0.722,62.9,ml_based,0.167,32.07,-0.35500000000000004,0.08999999999999997,11.899999999999999,0.167,12.850000000000001
200000005,Order,upgrade,Normal,Equipment upgrade,In Progress,590 Washington St,Austin,AUSTIN,TX,81961,30.519547,-97.620575,2026-01-09 09:00:00,2026-01-09 10:30:00,90,T900149,T900138,,completed,2025-11-19 10:41:53,0.623,2026-01-09 09:00:00,2026-01-09,0.447,0.61,66.4,0.75,21.07,0.692,71.0,ml_based,0.333,23.3,0.176,0.08199999999999996,4.599999999999994,-0.417,2.2300000000000004
200000006,Trouble,,Critical,Network troubleshooting,Pending,2380 Oak St,San Antonio,SAN ANTONIO,TX,61238,29.201887,-98.53309,2025-12-07 09:30:00,2025-12-07 10:30:00,60,T900093,T900101,,completed,2025-11-19 10:41:53,0.42,2025-12-07 09:30:00,2025-12-07,0.583,0.715,47.1,0.5,18.1,0.74,58.6,ml_based,0.0,47.95,-0.16299999999999998,0.025000000000000022,11.5,-0.5,29.85
200000007,Order,upgrade,Normal,Equipment upgrade,Pending,420 Oak St,Dallas,DALLAS,TX,95528,32.884403,-96.52116,2026-01-02 12:15:00,2026-01-02 12:45:00,30,T900129,T900129,,completed,2025-11-19 10:41:53,0.966,2026-01-02 12:15:00,2026-01-02,0.965,0.726,64.2,0.0,2.92,0.726,64.2,ml_based,0.0,2.92,0.0010000000000000009,0.0,0.0,0.0,0.0
200000008,Order,upgrade,Normal,Equipment upgrade,Pending,5933 Main St,Houston,HOUSTON,TX,46023,29.687492,-95.561386,2026-01-14 10:15:00,2026-01-14 11:15:00,60,T900050,T900056,,completed,2025-11-19 10:41:53,0.483,2026-01-14 10:15:00,2026-01-14,0.425,0.523,68.1,0.875,18.79,0.75,89.7,ml_based,0.0,35.72,0.057999999999999996,0.22699999999999998,21.60000000000001,-0.875,16.93
200000009,Trouble,,Critical,Line repair,In Progress,6202 Elm St,New York,NEW YORK,NY,62864,40.613277,-73.69032,2025-11-15 08:30:00,2025-11-15 10:30:00,120,T900001,T900010,,completed,2025-11-19 10:41:53,0.385,2025-11-15 08:30:00,2025-11-15,0.073,0.601,62.3,0.857,48.72,0.649,96.4,ml_based,0.6,37.9,0.312,0.04800000000000004,34.10000000000001,-0.257,-10.82
